Username,Features
nikhil,"[34.56060889929743, 18527.34, 0.42488262910798125, 0.003242148298831708, 1.7263795432277966, 45.70130463088413, 891836.1476, 545.1043120034603, 232759.5412254776, 380814035.02519995, 74]"
nikhil,"[39.5437089201878, 20684.37, 0.4164705882352941, -0.07133486109385943, 4.0740032156328745, 56.35591717769277, 1352971.4847999997, 722.8000330758261, 307912.8140903019, 576365852.5248001, 65]"
nikhil,"[36.6718544600939, 19745.82, 0.42823529411764705, -0.06075495508451627, 3.9402745267825035, 53.036390003034626, 1198277.7911, 625.4690505960957, 266449.81555393676, 510466339.0085999, 86]"
nikhil,"[29.435630841121498, 15743.359999999999, 0.4309133489461358, -0.09181187173730347, 1.939914110069692, 40.83982052385344, 713857.3225, 519.1626996852768, 222201.6354652985, 305530934.02999985, 124]"
nikhil,"[51.464309133489465, 27238.9, 0.4131455399061033, 0.09580949181895299, 1.2518497730440012, 68.15018991865304, 1983179.4608, 843.0453561202958, 359980.3670633663, 846817629.7616, 79]"
niya,"[40.930140186915885, 11188.39, 0.43661971830985913, 0.06786291393077375, 2.210887239941223, 60.11331601358831, 773312.7031, 537.7245905133736, 115073.06236986196, 165488918.46339995, 57]"
niya,"[26.630046728971962, 7254.43, 0.4694835680751174, 0.30207035478164884, 2.185077855115197, 34.79166106851672, 259038.37149999998, 323.47048397805275, 69222.68357130329, 55434211.50099996, 156]"
niya,"[54.31711627906977, 14488.5, 0.4485981308411215, -0.010014544224794582, 2.2654014774779867, 78.03996681486427, 1309400.8303999999, 688.355675190277, 147996.47016590956, 281521178.536, 44]"
niya,"[34.879205607476635, 9225.77, 0.4225352112676056, -0.012543250689727184, 3.439825584807836, 56.12441781643392, 674089.3589000001, 461.8905827719105, 98844.58471318884, 144255122.80459994, 38]"
niya,"[44.77640186915887, 11612.95, 0.431924882629108, 0.022358351158991544, 0.3347170030313924, 57.632229669942255, 710795.4139, 471.68895961376177, 100941.43735734501, 152110218.57459992, 47]"
noel,"[29.55061320754717, 7291.76, 0.4028436018957346, 0.022894116199866962, 0.3569956909613121, 38.36452243419399, 312029.35530000005, 306.508233124776, 64979.74542245251, 66150223.323599994, 40]"
noel,"[30.33301886792453, 7562.33, 0.3981042654028436, -0.07959477406743236, 1.8370858795217782, 40.94074771648541, 355342.70259999996, 350.920604403011, 74395.16813343833, 75332652.95120001, 34]"
noel,"[26.746226415094345, 6551.629999999999, 0.3981042654028436, 0.09410866897904155, 2.156683725971429, 35.53264454416371, 267664.59160000004, 295.7893826188856, 62707.349115203746, 56744893.4192, 37]"
noel,"[28.904976525821596, 7294.16, 0.42452830188679247, 0.014498378742245731, 3.193792801878626, 39.24160378483063, 327999.4386, 361.29610335145514, 76956.07001385995, 69863880.42180002, 36]"
noel,"[22.41638497652582, 6143.22, 0.4528301886792453, -0.04499437367452018, 7.790430261873244, 32.25625182333094, 221619.2115, 286.91808662106627, 61113.55245028711, 47204892.04949999, 42]"
noise,"[80.84273584905658, 27904.649999999998, 0.5876777251184834, 0.0074225421439274636, -1.2166361621507715, 93.39388760250552, 1849152.6672, 557.8884858785941, 118272.35900626195, 392020365.44640005, 64]"
noise,"[83.94914691943127, 27497.019999999997, 0.5619047619047619, -0.03796537576386653, -1.3039641442028722, 95.78628457311764, 1935927.5979, 624.2110393483181, 131708.52930249512, 408480723.15689975, 63]"
noise,"[90.35504672897196, 28043.440000000002, 0.5164319248826291, -0.14143242000021009, -0.9000863367968566, 104.34323223869717, 2329927.1644, 813.132039316674, 174010.25641376822, 498604413.1815997, 150]"
noise,"[72.50164319248826, 25295.52, 0.5943396226415094, 0.03994957350732017, -1.0316140318342821, 86.02206996263969, 1576156.6589000002, 500.36272711496696, 106577.26087548796, 335721368.3456999, 149]"
noise,"[92.37004716981133, 27192.82, 0.4976303317535545, -0.10766654979798337, -1.1918746264245108, 106.71515249122973, 2414282.2395, 682.1820562219558, 144622.59591905464, 511827834.77400005, 64]"
sanjana,"[28.376915887850465, 7458.69, 0.4413145539906103, 0.0277452772732882, 1.637636613757076, 37.60408585376324, 302610.3964, 323.9692559876243, 69329.4207813516, 64758624.82959997, 35]"
sanjana,"[33.818644859813084, 9320.849999999999, 0.4460093896713615, -0.02473160170483517, 3.359115139230404, 48.18418732264689, 496847.2043, 414.03944342873893, 88604.44089375013, 106325301.72019994, 40]"
sanjana,"[29.954158878504675, 7995.7699999999995, 0.4272300469483568, -0.0013002955856093556, -0.624249971593859, 36.15210954794139, 279692.6553, 331.0683416899612, 70848.6251216517, 59854228.23419996, 168]"
sanjana,"[29.292790697674416, 7356.08, 0.42990654205607476, -0.03934967087527793, 1.6897734802127369, 39.073897413359816, 328255.43369999994, 341.20911745119264, 73359.96025200642, 70574918.2455, 178]"
sanjana,"[29.686325581395348, 7810.400000000001, 0.3925233644859813, 0.030374756778565725, 0.8965967651065663, 40.33239343257476, 349740.9214, 350.79964517879523, 75421.92371344098, 75194298.10100001, 38]"
