Username,Features
nevil,"[73.4909651124018, 19149.829215459362, 0.44549763033175355, -0.03859195262269534, 1.1195422807516033, 100.13438579999254, 2125701.7865428505, 1.1122179407238881, 826.3164719196141, -0.00020060327457025297, 175179.0920469582, 450648778.7470843, 40, -0.16576179009841308, -0.25681975820407554, 306.3772530077622, 93867.02116058233, 2125701.7865428505, 10026.895219541748, 2125699.0320086535, 10074.402995301676, -1903277.441866079, 414155169.17232686, 7.633133977258461, 3.737327071044242, 0.7479165008435442, 0.5900897029297583, 0.39343319227906615, 0.3525095864825178, 0.5090869522820144, 0.9329152873519388, 1.4942966973012122, 2.192166345141376, 5.522737913353724, 13.412050351160069, 18.083713776511008, 19.15006299841557, 28.83283079335825, 18.7243113369484, 26.683911725889658, 21.565647827455773, 13.831983964156523, 10.844162065435745, 12.946993010245262, 7.9527800967591595, 5.548916968819258, 4.4785245760580565, 1.8393653034658424, 1.3637780714515817, 0.9200827181542783, 0.6252561107742419, 0.4436835973192381, 0.4057990265416595, 0.5014696513946346, 0.558478588861092, 0.5296060515208474, 0.4291119307838401, 0.33625580070340944, 8.233293402293006, 5.194791235955119, 2.618923107150379, 2.1302805391272566, 3.5663235850854544, 10.640093641540858, 25.55382382608012, 43.94627448220485, 338.0566363975758, 2201.755126668594, 3418.0663722061986, 4582.647762084043, 10060.323282704203, 4360.220050257119, 7981.980166391649, 6163.649752949764, 2585.7623456165916, 1540.6771641786409, 1935.593406486264, 661.1345869136022, 378.71323480224316, 180.89676715509788, 32.59775454545068, 18.945301296785768, 9.375373696292709, 5.035478976208429, 3.389302570165248, 3.2935038734653683, 4.659100556482648, 5.875515040833532, 5.328342034648947, 3.6829297236326335, 2.7898549667739907, 11, 12, 14, 10, 14, 16, 12, 16, 0.0, 8228.57142857143, 16457.14285714286, 24685.714285714294, 32914.285714285725, 41142.85714285715, 49371.42857142859, 57600.0, 0.0, 15107.694545620434, 26938.614604664945, 20174.171889894737, 16699.51272977576, 49690.91993387518, 80212.99316674778, 88801.53833525638, 0.0, 140587.00243554128, 268559.93100891245, 140321.714450424, 330589.8345891082, 393861.26130712905, 633131.9201020792, 30785.38724998385, 0.0, 19764705253.810886, 72124436543.51183, 19690183546.306335, 109289638733.6539, 155126693158.4426, 400856028252.1456, 947740068.1314683]"
nevil,"[92.03228988993908, 26963.31246637903, 0.4834123222748815, -0.03293803013206148, 0.2776290429137034, 117.93555457054582, 2948664.5467547844, 1.667706820558076, 948.3611779192894, -0.00014331686681924794, 201052.56971888934, 625116883.9120142, 150, -0.1359161526324039, -0.12558061372114782, 408.0464358134376, 166501.89378004984, 2948664.5467547844, 13908.795031862192, 2948646.8897305364, 13974.629809149461, -2246902.842709764, 634009333.7158333, 8.737742790354147, 4.058612775377648, 0.31205958371257525, 0.27538603200829254, 0.29085381548782835, 0.41128379093773365, 0.5582484125106307, 0.8706081001597343, 1.4877134160826957, 3.1651291863848776, 7.897967764817421, 12.27435006565393, 15.465183463515897, 21.02948425112276, 27.52951424587522, 27.79373238636114, 17.518180223585794, 18.774908427825626, 20.836993492759834, 17.503365885528005, 27.32312025714702, 32.12235064749004, 13.073805050287028, 3.2875847284034387, 1.9568798524764606, 1.2637161610977832, 0.8474166698540104, 0.6716797471947764, 0.5687310251018074, 0.4465648418780119, 0.32296276183630274, 0.2703897103611235, 0.308450937041853, 0.3855699466618129, 0.41665636657125343, 1.547841879382698, 1.2920210333870976, 1.7997707908036085, 3.5803134587796794, 5.855557841797863, 10.154307716972408, 22.90498314996392, 107.92096449118701, 640.3001876562882, 1820.2943497172394, 3026.246695502617, 4456.567577207698, 8444.814215561504, 8683.492186869034, 3042.043488947088, 3909.8930887979186, 5549.783174726995, 4242.762365078706, 7970.1553408473055, 12083.696449080635, 1935.773261617208, 111.29870011729172, 42.068928033994126, 16.88870406141691, 6.955588608679142, 6.182062757623202, 5.426857225852261, 3.82486089200327, 2.397743905521774, 1.7844446900305422, 2.3972156355954968, 3.7722875740940762, 4.415267108842341, 12, 19, 19, 13, 17, 16, 13, 12, 0.0, 8228.571428571428, 16457.14285714286, 24685.714285714286, 32914.28571428571, 41142.857142857145, 49371.42857142858, 57599.999999999985, 0.0, 9024.796471090074, 13493.56143670193, 27818.55428849832, 87069.66129007818, 64152.914546373286, 98162.47803826908, 48464.906478717465, 0.0, 112762.0380039231, 274008.06394851924, 477422.1937874875, 525671.1575998545, 375884.3804151952, 537923.9153813769, 50836.59885985821, 0.0, 12715277214.798197, 75080419108.81581, 227931951120.8573, 276330165932.3711, 141289067440.11517, 289362138739.2307, 2584359783.638137]"
nevil,"[39.14251972917919, 11490.848295972533, 0.4075829383886256, 0.04118576230595937, 4.676884650934694, 70.73580333221486, 1060753.4210874012, 0.1439874471210399, 627.1957666689962, -0.00019695453193901923, 132965.50253382718, 224879725.2705291, 150, -0.12352904865842644, -0.1675368084004388, 241.1301114961275, 58143.730670134886, 1060753.4210874012, 5003.553873053779, 1060753.4089320062, 5027.2673409099825, -1379029.9633434596, 192194595.77298287, 4.585355001610709, 1.8026132076689254, 0.38580345274116884, 0.38526237154520054, 0.33651202281703113, 0.3306516634117487, 0.2864268369029157, 0.4561680860734921, 0.8253550619137618, 1.6999158234568374, 5.365181497217317, 7.771624910249709, 10.368479972581818, 10.088483704616126, 12.89229454176287, 14.149038812782376, 11.939283631573652, 12.076101652941231, 13.492446595133215, 12.277391709339328, 11.128265360810664, 11.82881474961022, 6.943096163868148, 3.7994670901587853, 2.1169545426183958, 1.0815742807660111, 0.7336701854915857, 0.6823758453775209, 0.43697507144650005, 0.33878904981079344, 0.34446205770830396, 0.32559858881976866, 0.3561863232397453, 0.3587871457577181, 0.3117661974986445, 2.7420439674135504, 2.367221669355098, 2.2081789398858174, 1.754145745674234, 1.1050680688214876, 3.6617593510976634, 8.061423862831841, 33.18954219555905, 364.04612388696233, 886.8958103853648, 1428.0038368301152, 1581.7624830197124, 2405.143612501323, 3037.020578398335, 2262.1832080344752, 2682.622826704249, 2712.757310972759, 2216.4918765711705, 1991.6727365987774, 2372.662775155246, 831.9186439794223, 246.74980220704848, 79.2109629062384, 18.488408460956713, 10.182861791841935, 7.6012740213356995, 3.5364928008732193, 1.9878296508523696, 2.144526097542564, 2.313450580180099, 2.372168107892734, 2.4018975027559573, 2.4156439773851015, 17, 13, 10, 10, 15, 11, 15, 12, 0.0, 8228.571428571431, 16457.142857142862, 24685.714285714294, 32914.28571428572, 41142.85714285715, 49371.42857142859, 57599.99999999999, 0.0, 9941.10407032595, 9547.81337039561, 580.5474790698855, 2313.113138984832, 22566.275452061822, 92134.38581031017, 70796.60602417155, 0.0, 88835.05045752326, 58085.574363513275, 2014.2913746194743, 3383.6571396966237, 390185.77786439005, 667486.9002375369, 95317.96616646115, 0.0, 7891666189.790704, 3373933949.1392307, 4057369.741866411, 11449135.639019938, 152244941247.63916, 445538761988.7156, 9085514674.110632]"
nevil,"[83.27923209604612, 21234.489654148754, 0.4028436018957346, -0.002059795826813103, 0.15063901823847115, 108.87433027479472, 2512967.3960704375, 1.010964981609354, 850.0556723536253, -0.00030379097443171665, 180211.80253896856, 532749087.96693265, 42, -0.2582392410255159, -0.10099905715435369, 325.93105292866545, 106231.05126318854, 2512967.3960704375, 11853.619792785083, 2512896.193224478, 11909.46063139563, -1974788.9116587015, 442695901.637413, 8.20181257678132, 3.883512671961734, 1.0363280722536818, 1.00842684115836, 0.8312837618992652, 0.7528909786587894, 0.5761955709285977, 0.7311112860190042, 1.478651112882361, 3.209401675066939, 6.223781890841017, 9.61764072760155, 21.170395370114484, 24.424167613674783, 35.02449829437176, 42.13648250474529, 25.47478002766342, 16.02626889890195, 14.135539724018683, 12.264536657818706, 11.453928304471443, 7.948088273512524, 5.676024173367474, 3.4542503618379268, 1.3948546839484453, 0.764534104112356, 0.9654306819814606, 0.7684919649923311, 0.6123206416651461, 0.5167912560825569, 0.5955160425565401, 0.6562149595443371, 0.6294960964100432, 0.5377043873922963, 0.431775548954292, 11.527396701889627, 11.815883435055932, 11.939213923597755, 9.126699247918616, 4.460873872989591, 7.850372059893276, 26.40086574781655, 94.74451304505298, 329.6312987995265, 1064.7734048069851, 4088.047871112214, 5470.868107770313, 12949.899704325782, 18419.353764901814, 6824.962955794062, 2463.0152676117336, 2095.8721539926164, 2044.8101505537866, 1653.7307536706226, 874.8439157950055, 347.7433634849945, 122.96969045710138, 19.893960460827998, 6.60014377693834, 9.68615147691902, 7.199399967902496, 5.139194267823152, 4.429444893482902, 5.678993793438803, 7.064044324398336, 6.695233505210158, 5.04891727774182, 4.13005236413453, 12, 13, 12, 13, 13, 13, 14, 13, 0.0, 8228.57142857143, 16457.14285714286, 24685.714285714283, 32914.28571428572, 41142.857142857145, 49371.42857142858, 57600.00000000001, 0.0, 10366.889280327281, 18691.76001346887, 23085.93149276738, 18385.072181957035, 40261.68858388013, 113063.458424833, 96925.79923766371, 0.0, 181410.34967863862, 162816.22957099165, 294912.8899308678, 448375.4466465013, 548795.2982908294, 453775.8933795893, 126056.02671083987, 0.0, 32909714970.52594, 26509124611.713852, 86973612647.37614, 201040541155.44955, 301176279426.1204, 205912561412.4444, 15890121870.123974]"
nevil,"[76.39388062448722, 20424.718241607196, 0.44075829383886256, -0.019721297427562585, -0.3469829909214446, 94.98120719762535, 1912543.1007922662, 1.6524974018945473, 802.5395725753857, -0.0001464126753709912, 170138.38938598178, 405459137.36796045, 46, -0.11750196591185398, -0.2573829182399707, 299.1230595187197, 89474.60473583953, 1912543.1007922662, 9021.429720718237, 1912461.3323150247, 9063.79778348353, -1831198.1829132428, 215879395.43597943, 8.029492518402998, 3.9012006399438834, 0.8940994734840294, 0.7016442611974965, 0.5536244056518398, 0.520334585110715, 0.6108743792872483, 0.833876534939588, 1.257973951368513, 2.9004752995392877, 6.612539541721798, 9.905564033590494, 14.720369706761705, 17.744156095417694, 19.457043534627523, 26.253413232466205, 32.12401065316959, 23.864132834260435, 17.933978167614658, 13.42684840667411, 11.96893844951185, 9.019749554556924, 5.010492198870607, 3.5427931180789574, 2.2559236643654286, 1.3634425963229446, 0.9586638252662435, 0.6532190254554985, 0.43067344968865523, 0.3578049109561241, 0.41097325679002017, 0.4652478565736569, 0.4658469037060707, 0.3846200546908859, 0.26666725586920925, 12.949884738149358, 8.372854837417975, 5.373972395311983, 4.710041217083143, 6.087649768564298, 9.521191893628266, 22.138483895119144, 85.93272193101653, 461.32956592550204, 914.8100972329906, 2146.0685623449062, 3398.6754308823492, 4055.6599332131186, 6386.910715259968, 10913.241407330232, 6243.217311084617, 3048.842010894123, 1809.1103531668145, 1458.8842657792839, 945.241384426458, 276.2999836663884, 123.57399364764345, 51.184986159140536, 19.24645274915225, 13.099047403208136, 7.069839737362499, 2.8481956839256712, 2.0038827429769395, 4.179971484818793, 6.351937842946013, 5.613306986617069, 2.970026888716884, 1.4848132475414306, 12, 11, 14, 14, 15, 15, 14, 14, 0.0, 8228.571428571431, 16457.142857142862, 24685.71428571429, 32914.285714285725, 41142.85714285714, 49371.42857142858, 57599.99999999999, 0.0, 15295.675962566846, 18697.962981188593, 46506.028211566896, 36459.46436715205, 49183.727047609944, 69144.59390210295, 59237.27200712486, 0.0, 84792.25715774237, 211203.3022351773, 368299.9667327851, 388848.53207787406, 413119.0186792687, 403930.95849883126, 111624.24232419961, 0.0, 7189726873.904711, 44606834875.04365, 135644865495.37062, 151203180899.11746, 170667323594.52197, 163160219233.78452, 12459971474.451635]"
nikhil,"[64.33757582153355, 18093.246893090836, 0.45714285714285713, 0.05372243167515396, -0.07165708692144035, 80.27625436440026, 1359742.4501181352, 1.4326184327941291, 672.2174798427669, 1.2824425307154057e-17, 141837.88824682383, 286905656.97492635, 55, 8.620802860406903e-15, 0.0, 268.36858453129224, 72021.69716332936, 1359742.4501181343, 6444.277014777887, 1359740.6546158027, 6474.955498170489, -1491973.5276434957, 121620555.29098022, 7.375399050684136, 3.749309101073242, 0.5118231734011518, 0.48829487894806123, 0.4522021639398483, 0.49508064855573986, 0.6300458882348021, 1.1843704810974196, 3.73087014667824, 3.257270948809347, 4.255418884845725, 9.648897133945432, 13.758319864120102, 12.824966213429946, 13.952734936833815, 16.721736859418, 11.704470009870871, 15.58379751775683, 25.751457575040945, 22.10289743227211, 11.166629792968548, 7.803719447031439, 5.622607065200741, 2.764734699800896, 2.4192420946901185, 1.4995738029287768, 0.48724743743445587, 0.49309886691664906, 0.5093856966725986, 0.5566196209514156, 0.5358688152332739, 0.39904793202916, 0.44629681458998666, 0.5106459414748075, 0.49808170126007045, 4.460827660349064, 4.2722377444683515, 5.2126726737847395, 6.912419480860965, 7.5369746104951645, 13.219140307487507, 116.59926131258402, 101.48272193070174, 175.25723213167024, 1109.983787990336, 2561.872800842291, 2370.7640598485386, 2045.0101511211428, 3176.5152340268987, 1639.6006493986902, 3350.2873873242415, 7030.030698824647, 5486.26799933795, 1580.5446392422787, 706.4627462341406, 372.44035969611696, 138.12110937889938, 66.96929061767253, 22.21472740557747, 2.7690173336745967, 3.89503906428957, 7.014073501959391, 7.391369287819888, 5.154751004205334, 2.9666971601312433, 3.357349698961868, 5.647651246384189, 6.908290405945655, 15, 16, 17, 15, 13, 17, 16, 10, 0.0, 8228.571428571433, 16457.14285714286, 24685.71428571429, 32914.285714285725, 41142.857142857145, 49371.42857142859, 57600.0, 0.0, 16685.74475340979, 16995.20181731061, 35233.00259379711, 39441.07971652194, 68577.01186843723, 159833.62510832728, 44795.87777520513, 0.0, 58268.884004992295, 146953.42384470784, 276787.2114826589, 359629.2092690207, 367563.6607370367, 583626.4879454081, 78617.80443262093, 0.0, 3395262843.1872473, 21595308779.682343, 76611160440.34615, 129333168159.4611, 135103044694.41142, 340619877431.4916, 6180759173.805831]"
nikhil,"[44.95300058962868, 12238.503925353118, 0.4380952380952381, 0.048836162676971405, 1.2547334076575325, 60.09878681108373, 762103.3411706232, 1.6371746674057, 511.5853239380141, -1.6851153575022095e-17, 107944.50335092098, 160803804.98700136, 42, -8.620802860406903e-15, 0.0, 192.62916619455586, 37105.995668809825, 762103.3411706225, 3611.864176164088, 762082.679758038, 3628.965141704943, -1084286.4920524978, 55491235.993120834, 6.004034173091068, 3.2397173392011536, 0.471904022387189, 0.5026746876771887, 0.457431392650532, 0.46672235833609993, 0.44564358675616533, 1.2804707260087185, 4.056249856734925, 3.5952086579554505, 3.220086169396825, 7.087789547810947, 8.819133254576698, 11.210487141145313, 14.203115772548722, 19.022846422691362, 12.288761850192177, 8.602154863287353, 11.388369931700367, 7.984424689694036, 11.530085285000135, 8.239341668865084, 5.390545615311714, 2.8459137827015435, 1.616780306863551, 1.2423217988966606, 0.817219959874485, 0.46684905801073984, 0.3234535879255249, 0.34308215199067926, 0.35335000903877845, 0.35726441813489096, 0.33384181907373267, 0.2972668701742696, 0.27774009691197055, 2.2193027265008065, 3.4494033455819078, 4.5129574934794405, 3.6734969888230973, 2.504533504422928, 13.846422992220187, 143.99991494378077, 116.23682381950816, 99.41440438401791, 489.1873659289593, 912.7995527580679, 1509.1042712964975, 1973.1864958463032, 4132.750595611464, 1829.9585870737783, 812.9191173134732, 1560.0605446350423, 729.0677988136224, 1333.2599523867686, 749.2268232480487, 296.3049731824561, 79.35888579329591, 23.91127830130088, 14.75122864860306, 7.235193457181725, 2.5644096702166363, 1.3446313813625452, 1.82932058664422, 2.4341631853847385, 2.6956746758354715, 2.2453353941268674, 1.6148670133256575, 1.3378451016640132, 13, 13, 13, 13, 13, 13, 18, 19, 0.0, 8228.57142857143, 16457.14285714286, 24685.714285714297, 32914.28571428572, 41142.857142857145, 49371.42857142858, 57599.99999999999, 0.0, 10858.564968289182, 28366.266452684456, 38333.687926093044, 36777.08162765385, 83382.1943497562, 87859.33024340242, 94650.0072220588, 0.0, 46344.08951382113, 172572.85156492592, 147074.22957672292, 165139.8172246378, 369073.79879781813, 269863.5872417591, 45627.50086227607, 0.0, 2147774632.865065, 29781389097.249958, 21630829005.5866, 27271159232.986782, 136215468959.05232, 72826355718.99052, 2081868834.9370036]"
nikhil,"[60.63088977155398, 15806.377934623659, 0.4238095238095238, 0.06821608790165962, 0.8553798730483999, 78.01606962202207, 1284253.0021655892, 1.1373983137032662, 634.0662731662734, 0.0, 133787.98363808368, 270977383.45693916, 42, 0.0, 0.0, 239.08225259522283, 57160.32350600594, 1284253.0021655886, 6086.507119268193, 1284224.6816628466, 6115.355626965936, -1401367.1279123654, 142870810.40502995, 7.133711178600766, 3.686724597141998, 0.7992271202904472, 0.5590557454062103, 0.29640752180577934, 0.24800200893320185, 0.36801249173875994, 0.9722984693796425, 2.4474281677980287, 2.8343862512157636, 2.971362385214705, 5.72970289367832, 11.770633868629094, 17.94074832034568, 23.484638365305, 27.62483228680557, 19.218077058367008, 16.346604583653363, 11.424066322715891, 8.462118677117248, 8.721213841484968, 6.782878098054944, 5.538179941187527, 2.481757056557085, 1.7347850302030963, 1.1000621309444543, 0.7621773491975634, 0.5483636669413139, 0.49197777318243624, 0.4136993208205433, 0.3769477306070822, 0.35609274670704977, 0.36176001495917726, 0.37013662343970405, 0.3677653656353843, 8.709860396673545, 4.332082783151418, 1.5220509918216594, 0.8690155863824416, 1.7484948580034423, 8.820209544607929, 58.14824327230287, 74.59591756050003, 74.3472802424877, 330.95439696508566, 1274.1876946067994, 2995.8120310252175, 6343.579090908465, 7852.996242544791, 3434.229330998229, 3269.9003857055054, 1559.6874593709056, 942.0641075125535, 771.6950100127088, 501.75319837718564, 410.0529511561033, 92.16718264523207, 29.6812090875867, 11.82582440126636, 6.0780693466180455, 4.279871049497142, 3.4202005708993988, 2.645606194529716, 2.5379110579151534, 2.729486125158938, 2.762432124828869, 2.5542605833921326, 2.420342544809039, 13, 12, 15, 13, 13, 13, 11, 12, 0.0, 8228.57142857143, 16457.142857142862, 24685.71428571429, 32914.28571428572, 41142.857142857145, 49371.42857142858, 57600.00000000001, 0.0, 14259.045600103065, 38391.44698316204, 37963.60364431201, 88800.94111615917, 31421.529509391825, 73559.71313720063, 29177.784730293984, 0.0, 115063.29015651227, 120298.58526157215, 197138.28868285596, 303600.91792576, 484160.50803554227, 360866.0658755611, 73308.42795917376, 0.0, 13239560741.641735, 14471749615.935743, 38863504864.80505, 92173517365.36406, 234411397541.23438, 130224317500.50479, 5374125609.845369]"
nikhil,"[71.78604682383924, 17441.0162990128, 0.38095238095238093, -0.019455772042028755, 0.09783318991930923, 90.24621602378305, 1718464.0758949877, 1.3932148039644645, 693.1329415752053, 1.2437445031562594e-17, 146251.05067236832, 362595920.0138422, 41, 8.620802860406903e-15, 0.0, 259.466576974823, 67322.90456703176, 1718464.0758949867, 8144.379506611312, 1718391.3511913484, 8182.81595805404, -1566768.842282198, 205515147.40790647, 7.788331043665406, 3.8605882924254202, 0.8445834117280215, 0.6526128001417798, 0.42763652924351914, 0.40500292848870284, 0.454718030365204, 1.067777919898101, 2.878922715950737, 2.8198957168387038, 3.843285572274664, 7.126060235051494, 17.62691940994507, 28.690069349114463, 30.404371325229558, 25.71203301440021, 14.352157032229268, 10.28512659624959, 9.39393341029852, 9.558672424124504, 10.90378616846953, 7.754391812676363, 4.172136099826446, 2.0909358334760455, 1.4544123070147903, 1.1501855380361932, 0.6785511734722096, 0.4289353856191612, 0.35039829761164043, 0.3798073568010603, 0.45584229855624625, 0.4589316443074796, 0.40174926466098837, 0.31532832817379364, 0.2500654286968969, 8.597016767913622, 6.454125706104211, 4.685285681340022, 3.173653622799012, 3.652430061175544, 15.218920504553376, 69.95617755447995, 72.37321595793827, 159.11731312337864, 528.3086136818704, 4255.087821091307, 9272.039476023358, 11375.516823612168, 8038.510589319941, 2390.1054882635494, 1567.321876359476, 913.7443108868117, 1018.399032365428, 1201.113431447682, 584.8914660468793, 188.55723523178662, 40.3228543183551, 21.605864143590242, 13.457499778039749, 5.678894731152928, 2.5634746136569078, 2.245211464456853, 3.4038110085973603, 4.8317597672612695, 4.972102274264299, 3.969849246333289, 2.744541335590262, 2.194314776717221, 12, 12, 11, 13, 12, 12, 11, 10, 0.0, 8228.571428571428, 16457.14285714286, 24685.71428571429, 32914.28571428572, 41142.857142857145, 49371.42857142858, 57600.000000000015, 0.0, 6516.980870064535, 29789.64036432977, 27468.518671319824, 36646.06812144482, 41115.405431392195, 97868.20067501678, 52496.94545859516, 0.0, 147872.4976373503, 271492.97603389976, 211346.91340316425, 273247.93307604967, 425855.0134835523, 410513.3790892903, 74704.64643533251, 0.0, 21866275557.508163, 73708436035.74367, 44667517805.0446, 74664432930.33333, 181352492509.07654, 168521234411.30734, 5580784199.028038]"
nikhil,"[47.52428615832924, 13152.679125983896, 0.44075829383886256, 0.022467139056637206, 1.2580162896408726, 64.84271995868828, 891370.6063078645, 1.24031232661658, 572.5061120311403, -0.00013927466389360846, 121371.29575060174, 188970568.5372673, 52, -0.07973559633017362, -0.15171536089145113, 213.66819533792983, 45654.097698967744, 891370.6063078645, 4204.578331640871, 891344.7722068161, 4224.382806667375, -1238295.2566381632, 75282514.85436264, 6.15671108918183, 3.308631557037141, 0.6473719899039739, 0.4730211270844818, 0.28072867020403675, 0.22743021092892848, 0.3298180976014144, 0.8849685164932934, 2.7022937609490434, 3.201969206855757, 3.7543681484353275, 5.81360260835854, 9.032024077915976, 11.203039087648289, 13.293304474145652, 16.334917699898153, 15.492741401570049, 17.354734809653696, 14.521660249659252, 12.966218252123738, 8.482607213543979, 6.338942406785161, 5.754239567066885, 4.0086005260172355, 1.8626078110026854, 0.8557177085330571, 0.5022804563632718, 0.3595733462748783, 0.29510243053453783, 0.24503159332084726, 0.2471660147631914, 0.22916207520041673, 0.19850288864554425, 0.16140615027006122, 0.14957401796697387, 5.576863044189685, 3.6388351433434534, 2.126745851383716, 1.6615297676743346, 2.280491150497504, 7.245566236086143, 70.51796283128883, 99.12183170645797, 174.66117790085735, 424.64358915637627, 920.5588101774821, 1512.4950378659853, 2151.9801188802744, 2549.799872446069, 3222.2953280740694, 3796.9244154061157, 2595.094958290319, 2194.3630325681825, 752.433136287447, 428.431545359654, 368.0870184694955, 145.82338735415226, 34.91434319464487, 8.159872433319315, 3.1739880546486523, 2.0065001187975833, 1.4423736464918655, 1.2135507953295626, 1.383940416088245, 1.403505342627142, 1.2118656584628416, 0.8770817998253758, 0.7252938191431823, 15, 15, 14, 16, 12, 13, 13, 11, 0.0, 8228.57142857143, 16457.14285714286, 24685.714285714297, 32914.28571428571, 41142.857142857145, 49371.428571428565, 57599.99999999999, 0.0, 8296.334733494645, 17804.19267193575, 34365.640050425674, 53330.53568525119, 63859.068134425026, 74454.75400903606, 30417.801854018602, 0.0, 94456.00381803622, 156268.3564660595, 196749.70116276143, 194440.51858259962, 149846.2131381369, 209819.2690928008, 30378.328107359674, 0.0, 8921936657.272873, 24419799232.60344, 38710444907.635925, 37807115266.670265, 22453887591.83995, 44024125682.637146, 922842818.5983988]"
