Username,Features
nikhil,"[37.64485981308411, 10897.039999999999, 0.47417840375586856, 0.0022069590349196476, 1.012389674181529, 51.35879509533747, 564473.3284, 457.60981198380074, -0.0001669585466877911, 97928.49976453336, 120797292.2775999, 57, -0.0764018691588887, -0.07001693017986176, 178.49950458353058, 31862.07313656585, -970810.3763189866]"
nikhil,"[54.068411214953265, 13339.850000000002, 0.43661971830985913, -0.031044981497353918, 0.5706365174908927, 73.78346190351392, 1165015.8396, 572.8709930193261, -1.460099408629826e-05, 122594.39250613577, 249313389.67439985, 34, -0.00836448598128699, -0.10928242565187724, 211.15138893137024, 44584.909047646775, -1295054.0083295067]"
nikhil,"[45.190280373831776, 10892.27, 0.36619718309859156, -0.03212697606850968, 0.3907974801339851, 58.893429555934446, 742245.3136, 478.4302990861768, -3.3012943690081376e-05, 102384.08400444183, 158840497.1103999, 177, -0.015794392523360744, -0.042074570123680155, 172.3223920249809, 29695.006793211196, -1044488.9681842935]"
nikhil,"[44.52714953271029, 12469.5, 0.460093896713615, 0.1520268508213672, 0.39172334543439247, 57.80190376598303, 714986.8569, 524.0550180289711, -0.0003864098101028034, 112147.7738581998, 153007187.3765999, 60, -0.20249999999999593, -0.046979186583429894, 195.04134860635804, 38041.12766618688, -1119537.0805801165]"
nikhil,"[49.879672897196265, 13016.990000000002, 0.431924882629108, -0.0027023889024782146, 0.90936021634873, 68.11171593882246, 992790.0514999998, 534.6885904515334, -1.4376435228156946e-05, 114423.35835662816, 212457071.02099985, 41, -0.007686915887861007, -0.07974748954792521, 208.2402681272882, 43364.009269724884, -1191454.900324535]"
niya,"[62.78738317757009, 17009.75, 0.45539906103286387, -0.11376840556764886, 4.746243576541657, 102.10792946589939, 2231170.2616, 832.633415851639, -5.909636406591285e-05, 178183.55099225076, 477470435.9823997, 180, -0.049205607476613074, -0.08331124118982045, 323.3516905313641, 104556.31576949108, -1972699.3364927196]"
niya,"[46.301643192488264, 12213.31, 0.419811320754717, -0.004440983202454797, 3.387463464824223, 71.49810126833108, 1088851.4173, 619.2124857164337, 0.0, 131892.25945760036, 231925351.8849, 41, 0.0, 0.0, 222.35832937035295, 49443.22664037436, -1378240.6108083075]"
niya,"[59.207452830188686, 15767.96, 0.44549763033175355, -0.0062841720622449655, 1.2632493950945909, 85.87922702787712, 1563551.2266000002, 725.4638503744678, -3.348540773966777e-05, 153798.33627938718, 331472860.0392, 60, -0.024292452830178383, -0.037019653478805675, 276.16192940398696, 76265.41125213268, -1653304.1089259326]"
niya,"[40.597840375586856, 10338.769999999999, 0.41037735849056606, -0.05720114097650487, 3.7395844658197133, 58.87517128151077, 738318.8740000001, 517.6297967370049, -1.6497999938388934e-17, 110255.14670498203, 157261920.16199997, 51, -8.539856354675383e-15, 0.0, 188.9967562000419, 35719.773854138075, -1124422.6155317905]"
niya,"[55.91103286384976, 14009.470000000001, 0.42452830188679247, 0.07375606068247163, 2.4628709522392684, 81.80284028896993, 1425333.0967, 659.2021957868694, -1.2954836026420723e-17, 140410.06770260318, 303595949.5971, 40, -8.539856354675383e-15, 0.0, 247.3801113943751, 61196.919513493434, -1510277.606776652]"
noel,"[58.857056074766355, 16069.669999999998, 0.4272300469483568, 0.028962132109949662, 1.045364103914154, 79.67203252012497, 1358393.4119000002, 671.1641610398887, -9.785619361991596e-05, 143629.13046253618, 290696190.1465998, 39, -0.06567757009346781, -0.037081018036497666, 263.1367936899324, 69240.97219341804, -1526260.1719076904]"
noel,"[52.02014018691589, 14714.72, 0.4272300469483568, -0.050704846772102324, 3.21848144359548, 75.25729370992593, 1212023.2949, 640.5034229345272, -2.0391378399997753e-05, 137067.7325079888, 259372985.10859987, 173, -0.013060747663551742, -0.03480255109043863, 249.1797308535746, 62090.53826825987, -1454484.1899910388]"
noel,"[55.635399061032864, 15375.39, 0.42924528301886794, -0.009510635257323465, 0.9852908059847758, 75.2914161228492, 1207453.8337999997, 616.0865983122297, 2.7722909013344336e-17, 131226.44544050493, 257187666.59939998, 56, 1.7079712709350765e-14, 0.0, 244.24420817771897, 59655.23322836093, -1382123.5569443735]"
noel,"[48.87065727699531, 12812.79, 0.44339622641509435, -0.014313111054392326, 1.4929272719112152, 66.99637376845158, 956053.5029, 596.1769398106662, 2.8648730886462895e-17, 126985.68817967191, 203639396.11769998, 33, 1.7079712709350765e-14, 0.0, 208.69411530448738, 43553.23376272267, -1290525.0391758964]"
