Username,timestamps,emgvalues
static1,10:27:40.112,10.990940972387449
static1,10:27:40.119,23.939581195733602
static1,10:27:40.119,-27.566790467814446
static1,10:27:40.119,-97.68621135494449
static1,10:27:40.121,-6.191099661661284
static1,10:27:40.124,152.49185282213867
static1,10:27:40.124,88.70265743176344
static1,10:27:40.128,-99.99172519363698
static1,10:27:40.128,-114.90800222759137
static1,10:27:40.132,-3.577521473833166
static1,10:27:40.132,46.40840356333579
static1,10:27:40.135,44.420891633428475
static1,10:27:40.136,31.203937299544833
static1,10:27:40.139,-13.147391416336884
static1,10:27:40.140,-45.086708129947425
static1,10:27:40.140,-20.511123116643486
static1,10:27:40.144,13.177204095285493
static1,10:27:40.145,15.423092576080759
static1,10:27:40.148,8.43698814245655
static1,10:27:40.149,6.747603002035332
static1,10:27:40.153,-0.9142554877573646
static1,10:27:40.154,-11.537506753111959
static1,10:27:40.156,-11.716382826803617
static1,10:27:40.157,-1.113006680748096
static1,10:27:40.161,9.30155583196623
static1,10:27:40.161,9.460556786358815
static1,10:27:40.164,1.6496349018230707
static1,10:27:40.164,-4.392401365095164
static1,10:27:40.169,-6.727727882736258
static1,10:27:40.170,-5.4656578072451145
static1,10:27:40.173,3.060768372057264
static1,10:27:40.173,9.828246493391669
static1,10:27:40.177,2.4744523527346063
static1,10:27:40.177,-6.658164965189503
static1,10:27:40.181,-3.9352736212164823
static1,10:27:40.181,0.8844428088087549
static1,10:27:40.185,1.6098846632249246
static1,10:27:40.185,2.43470211413646
static1,10:27:40.189,0.9241930474069012
static1,10:27:40.190,-3.1402688492535566
static1,10:27:40.193,-2.2160758018466553
static1,10:27:40.193,2.8918298580151425
static1,10:27:40.198,2.722891343973021
static1,10:27:40.198,-1.580071984276315
static1,10:27:40.201,-2.3253889579915574
static1,10:27:40.201,-0.6161286982712674
static1,10:27:40.206,1.301820314089291
static1,10:27:40.206,2.4744523527346063
static1,10:27:40.210,-1.7291353790193633
static1,10:27:40.210,-5.5550958440909435
static1,10:27:40.214,2.603640628178582
static1,10:27:40.214,10.533813228508766
static1,10:27:40.218,-0.22856387193934116
static1,10:27:40.219,-11.756133065401764
static1,10:27:40.222,-2.822266940468386
static1,10:27:40.223,7.065604910820503
