Username,Features
niya,"[10.906931314269048, 15.487754847551416, 3345.1286002948045, 260570.21393318046, 30253368.752985377, 3.288403855384729, 11.595210456983269, 2.3762166533112987, 535.3240593014407, 0.44168651757544614, 0.0]"
niya,"[10.906762817281836, 15.577011108754041, 3363.044827461265, 263622.7235893122, 30739062.367523428, 3.2883259432669276, 11.598900217744594, 2.3761527337662556, 515.2637133098228, 0.42548613815840036, 0.0]"
niya,"[10.906662898739286, 15.502371252328178, 3348.9997774984863, 261283.33352362816, 30368263.88909022, 3.2883666331042787, 11.595588248944694, 2.3761979071145003, 509.6743296442251, 0.4205233742939151, 0.0]"
niya,"[10.906941161096917, 15.461681541523623, 3340.4385426161803, 259767.13469907886, 30122928.374010988, 3.2884319036553404, 11.594095352081325, 2.3762453163131014, 494.439117159288, 0.40828993985077455, 0.0]"
niya,"[10.907008202595838, 15.54360101000447, 3357.4166798661026, 262574.788758251, 30559647.299168237, 3.288418044201187, 11.597690672780393, 2.3762402575638912, 464.9799509666722, 0.38396362590146343, 0.0]"
noel,"[10.905527040880944, 15.292452959693822, 3304.9649987657117, 254067.0931990917, 29248510.46643504, 3.2882416305219797, 11.585463866374937, 2.376100315414466, 610.1806987760856, 0.5034494214324139, 0.0]"
noel,"[10.905809375356217, 15.377220956017474, 3320.803690951292, 256592.86084435007, 29636445.64654266, 3.2882359084943533, 11.589387347380576, 2.376086007775442, 603.2626012667553, 0.49774142018709183, 0.0]"
noel,"[10.905823510677452, 15.362420347761066, 3322.6548609812953, 257284.17867509223, 29778197.260039736, 3.288294017393941, 11.588762090655159, 2.3761535226409856, 575.5144884624729, 0.4752390491019594, 0.0]"
noel,"[10.90576760051922, 15.370018666064302, 3321.1509086271412, 256709.96649319454, 29655791.809365496, 3.288260805423626, 11.589037303529533, 2.3761194720564545, 584.7019747650268, 0.4824273719183389, 0.0]"
noel,"[10.906198536727617, 15.318490958409928, 3311.4716301554417, 255180.48928851302, 29429804.10412823, 3.288357165904744, 11.587219575071906, 2.376189463673997, 552.680541048516, 0.45638360119613214, 0.0]"
sanjana,"[10.905964437264878, 15.398989126162741, 3330.3076821936297, 258284.59383759327, 29900809.882235635, 3.2883421575949336, 11.590472355907199, 2.3762103741210385, 411.3948926404987, 0.33943472990140156, 0.0]"
sanjana,"[10.906457834087437, 15.400525778622526, 3332.11759192292, 258714.6788238536, 29984157.968100663, 3.2884296165462055, 11.591002901619417, 2.3762744115070036, 426.5500884750189, 0.35252073427687514, 0.0]"
sanjana,"[10.906034729452704, 15.402228553172309, 3329.4565318205737, 257895.8133868698, 29814462.964762058, 3.288359558655399, 11.590678240431009, 2.376230768109505, 416.80852249750393, 0.343901421202561, 0.0]"
sanjana,"[10.906907442173656, 15.400886120176807, 3330.2828504007066, 258189.23716831472, 29884158.63655154, 3.288486550528001, 11.5914415010524, 2.376304627592517, 410.79913118834116, 0.3392230645651042, 0.0]"
sanjana,"[10.906521391649363, 15.348360429012642, 3319.267308668892, 256316.36871571795, 29584775.75436656, 3.288453967884083, 11.588812246969827, 2.3762901555049747, 416.0568599275898, 0.3435647067940461, 0.0]"
