Username,Features
nikhil,"[34.56060889929743, 18527.34, 0.42488262910798125, 0.003242148298831708, 1.7263795432277966, 45.70130463088413, 891836.1476]"
nikhil,"[39.5437089201878, 20684.37, 0.4164705882352941, -0.07133486109385943, 4.0740032156328745, 56.35591717769277, 1352971.4847999997]"
nikhil,"[36.6718544600939, 19745.82, 0.42823529411764705, -0.06075495508451627, 3.9402745267825035, 53.036390003034626, 1198277.7911]"
nikhil,"[29.435630841121498, 15743.359999999999, 0.4309133489461358, -0.09181187173730347, 1.939914110069692, 40.83982052385344, 713857.3225]"
nikhil,"[51.464309133489465, 27238.9, 0.4131455399061033, 0.09580949181895299, 1.2518497730440012, 68.15018991865304, 1983179.4608]"
niya,"[40.930140186915885, 11188.39, 0.43661971830985913, 0.06786291393077375, 2.210887239941223, 60.11331601358831, 773312.7031]"
niya,"[26.630046728971962, 7254.43, 0.4694835680751174, 0.30207035478164884, 2.185077855115197, 34.79166106851672, 259038.37149999998]"
niya,"[54.31711627906977, 14488.5, 0.4485981308411215, -0.010014544224794582, 2.2654014774779867, 78.03996681486427, 1309400.8303999999]"
niya,"[34.879205607476635, 9225.77, 0.4225352112676056, -0.012543250689727184, 3.439825584807836, 56.12441781643392, 674089.3589000001]"
niya,"[44.77640186915887, 11612.95, 0.431924882629108, 0.022358351158991544, 0.3347170030313924, 57.632229669942255, 710795.4139]"
noel,"[29.55061320754717, 7291.76, 0.4028436018957346, 0.022894116199866962, 0.3569956909613121, 38.36452243419399, 312029.35530000005]"
noel,"[30.33301886792453, 7562.33, 0.3981042654028436, -0.07959477406743236, 1.8370858795217782, 40.94074771648541, 355342.70259999996]"
noel,"[26.746226415094345, 6551.629999999999, 0.3981042654028436, 0.09410866897904155, 2.156683725971429, 35.53264454416371, 267664.59160000004]"
noel,"[28.904976525821596, 7294.16, 0.42452830188679247, 0.014498378742245731, 3.193792801878626, 39.24160378483063, 327999.4386]"
noel,"[22.41638497652582, 6143.22, 0.4528301886792453, -0.04499437367452018, 7.790430261873244, 32.25625182333094, 221619.2115]"
noise,"[80.84273584905658, 27904.649999999998, 0.5876777251184834, 0.0074225421439274636, -1.2166361621507715, 93.39388760250552, 1849152.6672]"
noise,"[83.94914691943127, 27497.019999999997, 0.5619047619047619, -0.03796537576386653, -1.3039641442028722, 95.78628457311764, 1935927.5979]"
noise,"[90.35504672897196, 28043.440000000002, 0.5164319248826291, -0.14143242000021009, -0.9000863367968566, 104.34323223869717, 2329927.1644]"
noise,"[72.50164319248826, 25295.52, 0.5943396226415094, 0.03994957350732017, -1.0316140318342821, 86.02206996263969, 1576156.6589000002]"
noise,"[92.37004716981133, 27192.82, 0.4976303317535545, -0.10766654979798337, -1.1918746264245108, 106.71515249122973, 2414282.2395]"
sanjana,"[28.376915887850465, 7458.69, 0.4413145539906103, 0.0277452772732882, 1.637636613757076, 37.60408585376324, 302610.3964]"
sanjana,"[33.818644859813084, 9320.849999999999, 0.4460093896713615, -0.02473160170483517, 3.359115139230404, 48.18418732264689, 496847.2043]"
sanjana,"[29.954158878504675, 7995.7699999999995, 0.4272300469483568, -0.0013002955856093556, -0.624249971593859, 36.15210954794139, 279692.6553]"
sanjana,"[29.292790697674416, 7356.08, 0.42990654205607476, -0.03934967087527793, 1.6897734802127369, 39.073897413359816, 328255.43369999994]"
sanjana,"[29.686325581395348, 7810.400000000001, 0.3925233644859813, 0.030374756778565725, 0.8965967651065663, 40.33239343257476, 349740.9214]"
