Username,Features
noel,"[5.062096301566522, 36.792735843706346, 4311.237193066535, 471088.44423250057, 54420374.93143633, 2.165986665213333, 7.900478138064799, 1.110395528035228, 458.5945822855232, 0.9190272190090645, 0.01603206412825651]"
noel,"[4.6298005444315855, 0.05579502364920657, 100.01562016824948, 466.65736745459594, 2182.9131362924454, 2.150996391854319, 4.63582226847279, 1.5312099706678415, 118.23148042392263, 0.23693683451687902, 0.0]"
noel,"[4.596356896517027, 0.050589397307836945, 97.80312174178374, 452.76043337744227, 2100.9149240344523, 2.1432693186132274, 4.601856811925754, 1.5240646583423794, 109.94633302400067, 0.2203333327134282, 0.0]"
noel,"[5.063400372598714, 36.98987787645007, 4345.599517120333, 476318.05717254436, 55186843.97869215, 2.166175093456246, 7.913779198946788, 1.1106505329756122, 437.74373454097537, 0.8772419529879266, 0.01603206412825651]"
noel,"[4.62852959395286, 0.052339572046656985, 99.885142999432, 465.6933151832117, 2176.377282073355, 2.150743516245082, 4.634180162029103, 1.531013935687854, 115.10089125905108, 0.2306631087355733, 0.0]"
noel,"[4.5955568455880185, 0.05942244201410112, 97.87388424240261, 453.5646815187303, 2107.6701378087196, 2.142969932232109, 4.60201751007588, 1.5236795400151326, 122.8575446102003, 0.24620750422885834, 0.0]"
noel,"[5.062847931637555, 36.94686078198905, 4347.538730809357, 477485.69516819116, 55435149.15339385, 2.166337300043262, 7.910707298394733, 1.111191739305102, 444.0581204381188, 0.8898960329421218, 0.01603206412825651]"
noel,"[4.629000015470549, 0.04703944132679024, 99.8425850423505, 465.21209295430793, 2172.3411273845613, 2.1509207158610533, 4.634078180669067, 1.5312427194423768, 110.20544316778488, 0.22085259151860698, 0.0]"
noel,"[4.596667767970259, 0.04212198521207849, 97.70574469403245, 451.799739153455, 2093.267741340626, 2.143449189265102, 4.601247282456004, 1.5243327972418632, 102.3244691675436, 0.20505905644798317, 0.0]"
noel,"[5.063072542968135, 36.98520838052216, 4346.949781349378, 476578.4692509535, 55225403.74184599, 2.166169730359183, 7.913274414291468, 1.110617820021005, 444.5526783145845, 0.890887130890951, 0.01603206412825651]"
noel,"[4.629752166758888, 0.054772756872047065, 99.99831795799025, 466.5063399603779, 2181.7780504578277, 2.1509980835613263, 4.635663693850177, 1.531223682034583, 117.99193850850621, 0.23645679059820884, 0.0]"
noel,"[4.5966109734260625, 0.04838950101994105, 97.78926725044249, 452.5863581723285, 2099.4063409446626, 2.143357157416818, 4.601871569485707, 1.5241737697558597, 102.27291805636443, 0.20495574760794474, 0.0]"
noel,"[5.064386527839323, 36.84924868114554, 4322.311703431018, 473035.19348243397, 54737635.97191747, 2.166583026079932, 7.9055208294271155, 1.1113277437434286, 442.9976665894243, 0.887770874928706, 0.01603206412825651]"
noel,"[4.628854860281624, 0.039971342809187675, 99.73521614678707, 464.2477477747973, 2165.0178110369534, 2.150975894488751, 4.633170476073809, 1.5313768104250196, 97.19153374643935, 0.19477261271831534, 0.0]"
noel,"[4.596478869911825, 0.03348698880196529, 97.57474802852832, 450.6308949257892, 2084.430953622923, 2.143515062206664, 4.600120106078519, 1.524497207096005, 85.81259119591259, 0.17196912063309136, 0.0]"
sanjana,"[5.064011397178567, 37.10048959854288, 4368.384399583146, 479875.01914968924, 55710450.45418788, 2.1660833325496514, 7.921155283751058, 1.109426609071168, 371.8604256448716, 0.745211273837418, 0.01603206412825651]"
sanjana,"[4.629557697262603, 0.012414947453269523, 99.39714943048125, 460.9693631830255, 2139.0870536696157, 2.151484999609719, 4.630898338307232, 1.532171772177309, 29.250552932544437, 0.05861834255018925, 0.0]"
sanjana,"[4.596222157770865, 0.013903531691222075, 97.28804404709163, 448.0399919874504, 2064.722579025789, 2.143703344612621, 4.597734404603543, 1.5249043219526957, 31.050118129516104, 0.06222468563029279, 0.0]"
sanjana,"[5.065246957704196, 37.039702679415576, 4365.334407842235, 480023.9265384237, 55789986.66811776, 2.1670192113437947, 7.918107691989746, 1.1119718474957596, 378.3109758489871, 0.7581382281542828, 0.01603206412825651]"
sanjana,"[4.629988694629942, 0.013444723982838904, 99.43929610739066, 461.27481457977393, 2141.1160859612664, 2.1515724894424264, 4.631440384630241, 1.5322415253165635, 36.9262281325304, 0.07400045717941964, 0.0]"
sanjana,"[4.596125024632756, 0.01461063232407971, 97.29145795027291, 448.08809942327935, 2065.14324567716, 2.1436715615590525, 4.597714201032893, 1.5248661006194393, 37.40330561670692, 0.0749565242819778, 0.0]"
sanjana,"[5.064452361684116, 37.10694183660485, 4366.128447934017, 478985.1793644441, 55529212.90114752, 2.166568182146464, 7.921844454441949, 1.1110795514680507, 370.4966801138033, 0.7424783168613293, 0.01603206412825651]"
sanjana,"[4.628554608771303, 0.013654356878505287, 99.35003351700256, 460.7339248171814, 2138.0545136680103, 2.1512364831390074, 4.630029386867493, 1.531926500763514, 31.65629454241335, 0.06343946802086843, 0.0]"
sanjana,"[4.596438834529082, 0.012424621106138005, 97.28148136958723, 447.9379807355149, 2063.7792096219227, 2.1437728673321588, 4.597790184498768, 1.5249870841390676, 31.099216929976617, 0.06232308001999322, 0.0]"
sanjana,"[5.066123552940934, 37.07501886512712, 4364.09851010534, 479260.7265942544, 55631149.77196971, 2.1670452316239817, 7.920898100518023, 1.1118761699766218, 374.14636641649105, 0.749792317467918, 0.01603206412825651]"
sanjana,"[4.628742538753157, 0.011439858999986835, 99.33120800545963, 460.5201763258864, 2136.2387970312, 2.1513078903388636, 4.629978115397847, 1.532018692439683, 30.55383001664882, 0.061230120273845334, 0.0]"
sanjana,"[4.596297265234138, 0.011960455695751515, 97.26579030690267, 447.81809539636515, 2062.940382061283, 2.1437453373788884, 4.597598177972338, 1.5249662886429964, 29.943148642505264, 0.06000630990482017, 0.0]"
sanjana,"[5.0650126701746085, 36.94663211223941, 4339.9843373202, 475345.7595763058, 55035475.56575406, 2.1669017394954007, 7.912078453937925, 1.1117158253498722, 370.9171670349821, 0.7433209760220083, 0.01603206412825651]"
sanjana,"[4.628608733894935, 0.014117631107539818, 99.35967452650723, 460.8093311810719, 2138.566100118215, 2.151242988917836, 4.630133523193042, 1.5319267971322301, 35.18703843642972, 0.0705151070870335, 0.0]"
sanjana,"[4.596254219248021, 0.013063313877544535, 97.27861236551185, 447.94746893665683, 2063.9875901163814, 2.143721785222512, 4.597675082238062, 1.5249320109330113, 34.86046224663161, 0.06986064578483289, 0.0]"
niya,"[5.066389274501281, 37.287826949304765, 4399.324471764951, 484589.235085125, 56407989.37381681, 2.166839345742551, 7.934489727139758, 1.1115913452161335, 426.93320400634514, 0.8555775631389682, 0.01603206412825651]"
niya,"[4.629323808667398, 0.03307299338998018, 99.66932958093021, 463.5413811890128, 2159.173941342091, 2.151171342724865, 4.632894550805663, 1.5316389016610783, 82.52075101319821, 0.16537224651943527, 0.0]"
niya,"[4.596481456737771, 0.026907217360779227, 97.48418396790704, 449.79735551228, 2078.0357505634242, 2.1435992266906227, 4.599407461781893, 1.5246537814948302, 74.04965716272446, 0.14839610653852597, 0.0]"
niya,"[5.06626725618739, 37.47761890119133, 4435.42941781021, 490567.7365906805, 57326910.945431024, 2.1663518511697557, 7.946362866891231, 1.1103616790073234, 418.31316742539013, 0.8383029407322448, 0.01603206412825651]"
niya,"[4.629337279395416, 0.03103472169942971, 99.6414764615682, 463.27705424320897, 2157.0952038135483, 2.1511994811905244, 4.632688028358869, 1.531687939947547, 74.38982008852354, 0.14907779576858424, 0.0]"
niya,"[4.596421665663484, 0.025323735173385764, 97.45863468799926, 449.57468590428607, 2076.3780147910006, 2.143605488955551, 4.599175563484618, 1.524678554977991, 67.58991000938039, 0.13545072146168416, 0.0]"
niya,"[5.0662697145037985, 37.33566317080165, 4408.453406451103, 486095.07453809876, 56636962.979693465, 2.1665886681227713, 7.937427290432337, 1.1108838248495554, 423.5596268701135, 0.8488168875152575, 0.01603206412825651]"
niya,"[4.6291062740055695, 0.028247108673897424, 99.58813682340579, 462.83008526392933, 2153.823680527773, 2.151181286233922, 4.632156301843843, 1.5317044292883788, 72.7494939605198, 0.1457905690591579, 0.0]"
niya,"[4.595814639366053, 0.019885789295061507, 97.34515910670106, 448.64823725946343, 2069.715808751201, 2.1435330525556773, 4.597977597673393, 1.5246756664487944, 58.02862726446772, 0.1162898341973301, 0.0]"
niya,"[5.066493464488274, 37.20377560439164, 4385.7386716025285, 482510.720176646, 56101100.846352406, 2.1669460611097184, 7.929257949524281, 1.111647812549977, 403.7076266526732, 0.8090333199452369, 0.01603206412825651]"
niya,"[4.628937932543378, 0.023657924653304442, 99.51341323564316, 462.16961725415405, 2148.8372934848153, 2.151199618096899, 4.631492665220605, 1.5317748311079322, 61.50893497865579, 0.12326439875482122, 0.0]"
niya,"[4.596373569506371, 0.02233986280624449, 97.41428346173618, 449.1738618418622, 2073.316824481584, 2.1436320970984357, 4.598803089202991, 1.5247387457767367, 65.03337549472373, 0.13032740580104957, 0.0]"
niya,"[5.066874128940422, 37.40790577277576, 4423.269719888306, 488349.0801271477, 56965243.27030717, 2.1668768213933345, 7.942362319316685, 1.1113986535191498, 390.1567416106717, 0.7818772376967369, 0.01603206412825651]"
niya,"[4.629307070943901, 0.024183740440666304, 99.54463465544312, 462.3865827040579, 2150.2329713553213, 2.151279172926417, 4.631918360413089, 1.5318432787371388, 66.76195193846395, 0.13379148685062917, 0.0]"
niya,"[4.596176985646512, 0.017096980645008298, 97.32987404553634, 448.4387771915892, 2067.8488899163704, 2.1436533207287294, 4.5980365226944055, 1.5248215106124499, 51.45818650783319, 0.10312261825217073, 0.0]"
