Username,Features
nikhil,"[42.09159624413146, 12580.95, 0.5, 0.06828312067067656, 0.05735413590417293, 53.4249635474555, 607950.2935, 442.983314607804, 94355.44601146225, 129493412.51550001, 60, -1.9278054213477902e-17, -942467.5380562044]"
nikhil,"[48.066775700934585, 14044.24, 0.460093896713615, 0.02431214166018411, -0.07132400247097248, 59.576768778084826, 759569.7548999999, 485.81952486615205, 103965.37832135653, 162547927.5485999, 61, -0.00021463876109817175, -1049820.1842374792]"
nikhil,"[40.183427230046945, 10031.97, 0.3867924528301887, -0.12637943183880712, 2.8486332831632195, 53.909709809431256, 619032.7008999999, 446.6540205649677, 95137.30638033812, 131853965.2917, 46, 0.0, -953293.4524618923]"
nikhil,"[43.65953051643192, 11180.54, 0.41509433962264153, -0.005001446366815094, 0.2862009385848876, 56.69192078796685, 684576.437, 481.713898354885, 102605.0603495905, 145814781.08100003, 42, 0.0, -1027055.8973416795]"
nikhil,"[42.74206572769954, 11459.130000000001, 0.4339622641509434, 0.005167727895128643, 0.33644009596089886, 54.12638943992862, 624018.8652, 449.6468907408679, 95774.78772780485, 132916018.28759998, 170, -1.8992361629821462e-17, -957992.2605534222]"
niya,"[63.971915887850464, 17058.39, 0.431924882629108, 0.032978403727827704, -0.2524321329655437, 77.92262318012034, 1299394.1335, 655.7866085848675, 140338.33423716165, 278070344.5689998, 42, -0.00012402170864151646, -1473361.2232692717]"
niya,"[59.77257009345795, 15243.96, 0.4460093896713615, -0.020568630965404157, 0.4418538571037298, 74.90270218039689, 1200628.7658999998, 655.1673932997844, 140205.82216615387, 256934555.90259984, 176, -0.00022071123382688874, -1459940.1074344916]"
niya,"[70.1679716981132, 18673.99, 0.4218009478672986, 0.022257520998076045, -0.7566511103466569, 84.53797410932813, 1515093.8421, 739.5057229843792, 156775.2132726884, 321199894.5252, 36, -0.00011369782013305147, -1656397.2029973934]"
niya,"[60.30981220657276, 14884.070000000002, 0.41509433962264153, 0.08036929521710996, -0.43622331205845244, 72.89306737839331, 1131754.0449, 664.8002054992724, 141602.44377134502, 241063611.56369996, 44, -2.569149733719428e-17, -1453084.8570010294]"
niya,"[65.48765258215964, 17009.39, 0.4339622641509434, -0.09822610504319677, 0.3533339439469243, 81.2186659117734, 1405048.4705, 689.5992409796495, 146884.63832866534, 299275324.2165, 38, -1.2383796047315254e-17, -1556229.20522519]"
sanjana,"[41.46514018691588, 10838.25, 0.4084507042253521, 0.020689184114139832, -0.27176046899207673, 50.85690717568888, 553494.9516, 404.9764194922609, 86664.95377134383, 118447919.6423999, 43, -1.8692677137713766e-05, -857185.4023160036]"
sanjana,"[52.079389671361504, 13460.21, 0.42452830188679247, 0.0089797710298266, 0.486379433346805, 67.82339733323299, 979802.8170999999, 576.6741561038978, 122831.59525013022, 208698000.0423, 163, 0.0, -1263181.5845087604]"
sanjana,"[41.79399061032864, 10869.66, 0.3915094339622642, 0.13436477715438838, 0.6932638871421912, 54.88381308698527, 641605.6159999999, 478.69016944180805, 101961.00609110511, 136661996.208, 34, 1.7840049576605167e-17, -1023551.198069067]"
sanjana,"[35.527558685446, 9389.84, 0.4009433962264151, -0.048811689393756845, 3.2179471312370715, 49.75355278323338, 527263.6111, 420.33125971268714, 89530.55831880236, 112307149.1643, 42, -2.0316967052397457e-17, -891506.5866359528]"
sanjana,"[48.443004694835686, 13403.07, 0.46226415094339623, 0.01376210418204664, 0.6931614777526325, 63.79818912908293, 866954.5034, 534.5413412708658, 113857.30569069443, 184661309.22419998, 178, -1.5976044686033027e-17, -1175626.3256839798]"
